# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_intron_variant	variants_effect_upstream_gene_variant
BIN1	ENSG00000136717	ENST00000259238@ENSP00000259238	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000259238^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000259238^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000259238^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000259238^IP_089891	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724@ENSP00000316779	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724^IP_089886	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000316724^IP_089895	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000346226@ENSP00000315411	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000346226^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000346226^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000346226^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000346226^IP_089886	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000348750@ENSP00000259237	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000348750^IP_089877	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000348750^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000348750^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000348750^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000351659@ENSP00000315388	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000351659^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000351659^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000351659^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000351659^IP_089884	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000352848@ENSP00000315284	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000352848^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000352848^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000352848^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000352848^IP_089889	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000357970@ENSP00000350654	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000357970^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000357970^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000357970^IP_089880	protein_coding	4	3	1
